SMILES,Catalog ID
O=C1CCN(CC2=NC=CS2)C(=O)N1CC3=CC=CNC3=O,Z3535315936
"C[C@@H]1CC=2C(=NNC2[C@H](C)O1)C(=O)NCC=3C=C4OCCCN4N3 |&1:1,8,r|",Z3550520435
CNCC(=O)N1CCCC=2C=CC(=CC21)NC(=O)C3CC(=O)N(C3)C(C)C4CC4,Z3550947590
"O=C(NC1=NN2CCCCC2=N1)[C@@H]3C[C@H]3C4=CC=C5C=CC=CC5=C4 |&1:12,14,r|",Z3552859600
CS(=O)(=O)C=1C=C(N=CN1)N2C3CCCC2CC(F)(F)C3,Z3558968997
CS(C)(=O)=NCC1CCN(CC1)C=2C=C(N=CN2)OC=3C=CC=CC3,Z3559617235
CC(C)C=1C=C(C(=NN1)NC[C@]2(CO)COC[C@@H](C)N2)C(F)(F)F,Z3560301187
C[C@@H](CC=1C=CC(F)=CC1F)N(C)C(=O)NCC2=NN=C3C=CC=NN23,Z3566780681
"CN1C=C(C=N1)[C@@H]2C[C@H]2NC(=O)CCC=3C=CC=C4C=CC=CC34 |&1:6,8,r|",Z3577572897
CC=1C=CC(=CC1NC(=O)CN2CCCCC2)NC(=O)C3=CC=CC=4C=C(O)N=CC34,Z3595789772
CC(C)C1=NSC(=N1)NC(=O)NCC2COC3(CCCCC3)O2,Z3602418226
COC1CN(C1)S(=O)(=O)N2CCCC2C=3C=C(F)C=CC3F,Z3622050293
CN1C=C(C(=N1)C2CCC2)C3=NC=4C=C(F)C=CC4N3C,Z3629856486
CC(C)[C@@H]1CC[C@@H](C)C[C@]1(O)CNS(=O)(=O)CCN2C=CC=N2,Z3644285865
CC1=NOC(=N1)C=2C=CC=CC2C(=O)NC=3C=CC=C(C3)C4=NN=CN4,Z1264588571
COC=1C=CC(=CC1)CCC(=O)N2CCCN(CC2)C(=O)C3=COC(=N3)C4CC4,Z1688539032
CS(=O)(=O)C=1C=CC(=CC1)CCNC(=O)C=2C=CC=3OCCOC3C2,Z1265078456
COC=1C=C(N=CN1)N2CCCC2C=3C=CC=C4OCCOC34,Z1688308352
CC=1C=CN=C(C1)NCC=2C=CC(=NC2)N3CCOC(C)C3,Z1416432637
CC=1C=C(N(C)N1)N2CCCC(C2)NC(=O)N3CCC(C3)N4C=C(Cl)C=N4,Z2183626981
CNC(=O)C=1C=CC=C(C1)C(=O)N2CCN(CC2)C(=O)C3=CC=C4NC=NC4=C3,Z1266085052
CC=1N=C(SC1C)C2CCCN(C2)C(=O)C=3C=CC4=C(C3)NC(=O)N4C,Z1266938480
CN1C(C(=O)N2CCCC(C2)S(C)(=O)=O)=C(Cl)C=3C=CC=CC31,Z1690444446
CCOC=1C=CC(=CC1C(=O)O)S(=O)(=O)NC2=CN(C)N=N2,Z2184061284
COC=1C=CC=2CN(CC3(CC3)C2C1)C(=O)C=4C=C(F)C=C5NC=NC45,Z2184647411
O=C(NC=1C=CC=CC1N2CCC(CO)CC2)C3CC43CCOC4,Z1690770630
CCC1=NC(=NO1)C2CCCN2C(=O)C=3C=CC=C(C3)N4C(=O)CCC4=O,Z1268726884
CN1C=C(C=N1)CC2CCN(C2)C(=O)CNC(=O)C=3C=CC(=CC3)C(C)(C)C,Z1320603983
CCC(NC(=O)N1CCC(C1)C=2C=NN(C)C2)C=3C=CN=CC3,Z1268759237
COC1=CC=2CCN(CC2C=C1OC)C3=NC=CN(C)C3=O,Z1270099572
CC(C)C1CCC2=CC=CC=C2C1NC(=O)CS(=O)(=O)C(C)(C)C,Z1693274933
CC=1N=C(C=CC1C(=O)N2CCC(F)(F)C(CO)C2)C3=CC=CO3,Z2187671420
O=C1NCC=2C(=CC=CC12)NCC=3C=CC(=CC3)C4CCCC4,Z2188312988
CC=1C=CC(=CC1)CN2C(=O)CCC2C(=O)NC=3C=CC(=NC3)N4CCC=5SC=CC5C4,Z1273338434
CC1=NN(C)C(SC=2C=CC=CC2)=C1C(=O)NC=3C=CC=C(C3)N4C(=O)NCC4C,Z1696967162
CCC1=CN=C(NC(=O)C2CCN(CC2)C(=O)C=3C=CC=CC3)S1,Z1275189116
CCC1=CN=C(NC(=O)C=2C=CC=C(C2)S(=O)(=O)N3CC(C)OC(C)C3)S1,Z1275185761
CC1=NN(C=C1C(C)NC(=O)N2CC=3C=CC=CC3C2)C(C)(C)C,Z1697727744
COC=1C=CC=CC1OC(C)CNC(=O)C2=CC(=O)NC3=CC(F)=CC=C23,Z1275021767
O=C(C1=COC(=N1)C2CC2)N3CCOC=4C(Cl)=CC(Br)=CC43,Z2192866343
O=C(NCC1=NN=NN1C2CC2)C=3C=CC(=CC3Cl)N4C=NN=N4,Z1275584456
O=C(CN1C(=O)C2CCCCC2C1=O)NCC=3C=CC(=CC3)C4=CC=CN=C4,Z1276377918
CCCC(=O)N1CCCCC1C(=O)N2CCC(CC2)OCC3CC3,Z1286539159
CN1N=C(C=CC1=O)C(=O)NCC2CCCC2NS(C)(=O)=O,Z1401917846
CC1=C(C=NN1C)NC(=O)C=2C=C(C)C=3C=CC=CC3N2,Z1401982470
O=C(NC=1C=CC=C(C1)CN2C=NC=N2)NC3CCCN(C3=O)C=4C=CC=CC4Cl,Z1277384444
CC=1C=CC=C(C(N)=O)C1NS(=O)(=O)C=2C=CC(=CC2C)C(=O)O,Z1408044165
COC(=O)C1=CC(=CN1)CN[C@@H]2C[C@H](C2)C=3C=CC=CC3C,Z1984525574
O=C(NCCC1=NC(=CS1)C(F)(F)F)N2CCC(C2)N3CCCC3,Z1308894527
COC=1C=CC=CC1N2CCN(CC2)C(=O)C3=CN(C=N3)C(C)C,Z1985969209
CNC(=O)CN1C=C(C=N1)NCC=2C=CC=C(C2)C=3C=CC(C)=CC3,Z1408160049
